Nombre:,,,,,
Método,100,1_000,10_000,100_000,1_000_000
Burbuja,0.0005664825439453125,0.06061244010925293,6.8815507888793945,722.8706336021423,X
Inserción,0.00020503997802734375,0.023936748504638672,2.639949321746826,313.79258155822754,X
Selección,0.00027179718017578125,0.02760457992553711,2.7849676609039307,294.7391517162323,X
CocktailSort,0.00021004676818847656,0.029818058013916016,2.7446370124816895,305.2885539531708,X
Quicksort,0.0001881122589111328,0.0018742084503173828,0.022463083267211914,0.28133130073547363,3.639413833618164
Merge sort,0.000202178955078125,0.0020165443420410156,0.028101205825805664,0.3656885623931885,5.324156045913696
Heap sort,0.000225067138671875,0.002958536148071289,0.03842473030090332,0.5746464729309082,9.439146280288696
Comb sort,,,,,X
Radix sort,0.0002276897430419922,0.0021886825561523438,0.022311925888061523,0.26273441314697266,0.0
Shell sort,,,,,
Random sort,,X,X,X,X
